timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/07/28 10:46:42.428, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 31.94 W
2026/07/28 10:46:42.931, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 26.95 W
2026/07/28 10:46:43.432, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 26.42 W
2026/07/28 10:46:43.934, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 26.93 W
2026/07/28 10:46:44.435, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 27.37 W
2026/07/28 10:46:44.936, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 29.19 W
2026/07/28 10:46:45.438, 0, NVIDIA GeForce RTX 5080, 8 %, 6 %, 3972 MiB, 16303 MiB, 31.25 W
2026/07/28 10:46:45.939, 0, NVIDIA GeForce RTX 5080, 14 %, 10 %, 3972 MiB, 16303 MiB, 31.18 W
2026/07/28 10:46:46.442, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 30.77 W
2026/07/28 10:46:46.943, 0, NVIDIA GeForce RTX 5080, 14 %, 10 %, 3972 MiB, 16303 MiB, 30.72 W
2026/07/28 10:46:47.447, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 31.01 W
2026/07/28 10:46:47.948, 0, NVIDIA GeForce RTX 5080, 14 %, 10 %, 3972 MiB, 16303 MiB, 31.04 W
2026/07/28 10:46:48.449, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 30.65 W
2026/07/28 10:46:48.950, 0, NVIDIA GeForce RTX 5080, 14 %, 10 %, 3972 MiB, 16303 MiB, 30.41 W
2026/07/28 10:46:49.452, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 30.32 W
2026/07/28 10:46:49.953, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 30.38 W
2026/07/28 10:46:50.454, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 30.92 W
2026/07/28 10:46:50.956, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 30.50 W
