timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/07/28 10:46:35.153, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 7.58 W
2026/07/28 10:46:35.656, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 6.99 W
2026/07/28 10:46:36.158, 0, NVIDIA GeForce RTX 5080, 0 %, 0 %, 3972 MiB, 16303 MiB, 7.05 W
2026/07/28 10:46:36.660, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 7.66 W
2026/07/28 10:46:37.162, 0, NVIDIA GeForce RTX 5080, 2 %, 0 %, 3972 MiB, 16303 MiB, 9.12 W
2026/07/28 10:46:37.663, 0, NVIDIA GeForce RTX 5080, 27 %, 23 %, 3972 MiB, 16303 MiB, 16.89 W
2026/07/28 10:46:38.165, 0, NVIDIA GeForce RTX 5080, 36 %, 29 %, 3972 MiB, 16303 MiB, 20.36 W
2026/07/28 10:46:38.667, 0, NVIDIA GeForce RTX 5080, 39 %, 30 %, 3972 MiB, 16303 MiB, 23.35 W
2026/07/28 10:46:39.169, 0, NVIDIA GeForce RTX 5080, 39 %, 30 %, 3972 MiB, 16303 MiB, 23.68 W
2026/07/28 10:46:39.671, 0, NVIDIA GeForce RTX 5080, 16 %, 10 %, 3972 MiB, 16303 MiB, 23.25 W
2026/07/28 10:46:40.172, 0, NVIDIA GeForce RTX 5080, 39 %, 30 %, 3972 MiB, 16303 MiB, 22.41 W
2026/07/28 10:46:40.674, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 22.55 W
2026/07/28 10:46:41.176, 0, NVIDIA GeForce RTX 5080, 5 %, 3 %, 3972 MiB, 16303 MiB, 23.60 W
2026/07/28 10:46:41.677, 0, NVIDIA GeForce RTX 5080, 1 %, 0 %, 3972 MiB, 16303 MiB, 29.91 W
